ID,Description
1128839,Neural networks for industrial applications overview.
1128846,Neural network system for pipeline inspection.
12330,Handwritten digit recognition using linear models.
240321,Nonlinear experts for time series analysis.
1128853,Drug activity modeling using machine learning.
219976,Rule-based database integration for engineering design.
38480,Efficient algorithm for learning dynamic goals.
12350,Cryptographic limitations on learning Boolean functions.
1104191,Improving DNA consensus accuracy with fluorescence.
7022,Transfer in morphology acquisition through phonological generalizations.
63931,Algorithm combining EBL and logic programming.
68224,Visual system achieves object recognition invariance.
1110768,Handling missing or asynchronous data with RNNs.
384428,Algebraic transformations optimize neural networks efficiently.
1107041,Case-based reasoning for structural design.
1114352,Hierarchical Kalman filter for visual recognition.
1107062,Learning impact on evolution rate: guiding vs hiding.
288,Memory-based stochastic optimization for hyper-parameter tuning.
1107067,Greediness improves efficiency without sacrificing accuracy.
91581,Detecting overlapping distributions with improved estimates.
39904,Performance validation for neural network simulations.
6334,Prototype and feature selection in classification algorithms.
123825,Neural network for unsupervised and supervised learning.
23258,Efficient autonomous mobile robot exploring unknown environments.
66805,Genetic Algorithm Culling on Additive Search.
6346,Instance pruning for better generalization and memory.
55968,Reinforcement learning for multi-robot systems.
368431,Greedy heuristic effectiveness in decision tree induction.
179702,Input to state stabilization for non-linear systems.
1140547,Localist attractor networks for pattern completion.
1114388,"Generalization challenges, learner's bias, uninformed learning."
90888,Incremental learning algorithm GAL adjusts network structure.
510715,Estimating hidden dependency structure using trees.
33412,Predicting reading frames in E. coli DNA.
188471,Adaptive robot navigation using reinforcement learning.
1152143,Knowledge transfer as part of induction.
1120962,Neural network learning through knowledge transfer.
1125258,Training methods for autonomous vehicle neural network.
648232,Error-based learning for movement control.
143476,Bayesian approach for finite mixture models.
1152150,Technical report numbered 947 from 1995.
1117249,Large margin classification algorithm with efficient implementation.
25413,Convert thread parallelism to instruction parallelism via SMT.
1152162,Probabilistic automata with Gibbs distributions and EM.
241821,Convergence and new operations in SDM.
350362,Boosting outperforms bagging in regression trees.
1116530,Hybrid system for imprecise information handling.
61069,Measuring adaptive progress in co-evolution simulations.
1110000,Flexible parametric models for robust analysis.
646809,Investigating multi-parent reproduction in genetic algorithms.
1105698,Covariate selection in hierarchical hospital models.
1152194,"Neural networks tutorial for regression, classification."
198653,Study selection mechanisms in learning systems.
1116569,Gaussian regression and optimal linear models.
77758,Algorithm combining Parzen window and vector quantization.
854434,Predicting object lifetimes for memory efficiency.
1128151,Efficient codings for evolutionary computation in design.
1123867,Maximizing coverage in learning algorithms study.
191404,Optimal policies without state space enumeration.
1116594,Multilayered network for learning with guaranteed results.
126793,Inference with MCMC for missing data.
43639,Efficient sparse representation learning of natural images.
44368,Evolutionary algorithms study with problem generators.
97390,Benefits of higher crossover points in genetic algorithms.
87915,Complexity analysis of conditional logics in AI.
131117,Efficient sequential task learning with higher-order networks.
8581,Factorial codes learned through predictability minimization.
27606,Learning with faulty PAC oracles using statistical queries.
1115886,Optimizing Q-learning parameters for learning abilities.
184157,Efficient dynamic-programming updates in POMDPs.
8594,Instruction parallelism limits in SPEC95 applications.
1152904,Probabilistic automata framework with Gibbs distributions.
1120211,Hebbian learning dynamics and synaptic plasticity effects.
28350,Stochastic iterative dynamic programming convergence proof.
1152910,Comparison of optimization algorithms in ML.
27627,Active data selection in Bayesian learning.
649731,Encoding high-dimensional structure into 2D map.
308920,Graphical characterization of LCI models.
289780,Selective learning in genetic algorithm optimization.
289781,Genetic algorithm for continuous design optimization.
19621,Identifying jets using neural networks.
1129608,Reevaluating tree models for sequence alignment.
1365,Cholinergic suppression enhances memory and organization.
103543,Efficient sampling from distributions using MCMC.
28387,Complexity of solving Markov Decision Problems.
28389,Integrating advice for improved reinforcement learning.
43698,Improving protein homology detection with Dirichlet mixtures.
54550,Improving problem solving with analogy techniques.
1129621,Analysis of neural networks for language learning.
46536,Multiclass decision trees using linear machines.
1129629,Evolutionary simulator for adaptive structures.
294126,Knowledge integration for enhanced performance.
568857,Evolving self-supporting structures through visual control.
447224,Compression algorithm for probability transition matrices.
38537,Bayesian inference using Markov chains.
1152975,Instance-based learning benefits and optimization.
34979,Apple tasting model enhances online learning.
1104261,Utilizes error distribution for effective partitions.
139865,Neurosimulator for neural systems with distributed execution.
56709,Innovative solutions for classifier system optimization.
1128945,Machine learning basics through board game classifier.
19697,Minimizing weights in simple neural networks.
107177,Instance ordering based on preference judgments.
1131165,Dynamic conditional independence models and MCMC methods.
1128959,Search and evolutionary algorithms for optimization strategies.
152219,Discovering structure in symbol strings using NN.
184918,Self-organizing neural network with various applications.
16008,Graphical models in multivariate statistics: applied approach.
1122425,Reinforcement learning with imitation in multi-agent systems.
928873,Hybrid neural network for accurate face recognition.
206259,Markov decision problem algorithm with asynchronous updates.
714748,"Causation, action, counterfactuals explored concisely."
1131189,MCMC sampling for Bayesian computation applications.
217115,Sample complexity of noise-tolerant learning in PAC.
560936,Comparison of unsupervised classifiers using simulation.
1131198,Mutation rate impact on parasite virulence evolution.
1128985,Evolving visual routines in architecture and planning.
466170,Deriving monotonic function envelopes from data.
429805,Memory-Based Learning for PP Attachment Ambiguities.
561674,Hierarchical Bayesian models for neural transmission.
654177,Efficient NLP module development with memory-based learning.
95225,Identifying read-once formulas over generalized bases.
37884,Time series model with decision tree.
37888,Stochastic simulation algorithms for dynamic networks.
1128997,Simulated Annealing for energy minimization.
545647,Error-prone small disjuncts and rare cases.
42207,Minimize errors through query optimization efficiently.
42209,Efficient learning of rectangle unions.
82920,Evolution strategies survey.
128202,Learning algorithm for rule-based concept representations.
128203,Learning hierarchical rule sets with weighted set cover.
1134056,Carbon dynamics in northern forest using SAR.
1102873,Study orthography to semantics mapping using attractor network.
42221,Geometric concepts and polynomial predictability research.
1107171,Efficient learning in mixed reasoning architecture.
1133338,Genetic algorithm enhances vector quantizer design.
67633,Efficient case-based planning with parallel support.
375825,Characterization and computation of nonparametric maximum likelihood.
48781,Efficient load balancing for rectangular grid.
75674,Balancing exploration and exploitation in control.
289088,Analytic functions in least-squares problems with sigmoidal nets.
1152244,Generic models in conceptual change in science.
13917,Neural networks for adaptive control tasks.
75695,Optimizing unsupervised clustering algorithm with binary.
34257,ASOCS model for parallel processing and robotics.
1117348,Mixed memory Markov models for analysis.
574710,Robot learning with parallel genetic algorithms.
34263,Efficient dynamic neural network implementation using LITs.
1128204,Parallel genetic algorithm for flowshop scheduling.
34266,VLSI implementation of PASOCS learning model.
1128208,Genetic algorithm for dynamic manufacturing scheduling.
1116629,Adaptive pruning enhances neural network generalization.
110162,Improving adaptability in case-based problem-solving.
110163,Integrating knowledge sources for improved reasoning.
110164,Case-based CBR systems and their effectiveness.
628751,Nested networks for robot control.
708945,Efficiently discriminates between massive datasets.
1123926,High-accuracy text-to-speech through machine learning.
1152277,Minimize misclassified points using linear programming.
77826,Merge strategies for improved planning performance.
77829,Mixed-initiative planning with rationale reuse.
8617,Neural network generalization through competitive learning.
242663,Deriving causal structural models from data efficiently.
8619,Refining neural network topologies using anytime approach.
628764,Neural network approximation with local and global basis.
628766,Incremental training for feedforward networks with orthogonal basis.
1125393,Automated model selection in meta-learning.
66986,Continuous attractors for object recognition in networks.
646913,Adaptive EA excels in graph coloring.
578309,Neural algorithms for Independent Component Analysis.
18251,Place knowledge acquisition through case-based learning.
1152290,Unsupervised constructive learning with theoretical motivation.
954315,Assisting designers in database predicate transformation.
212107,Framework for uncertain reasoning with multiple sources.
578337,Signal separation using nonlinear Hebbian learning.
907845,Sparse neural networks for large problems.
1127530,Bayesian method for graphical model selection.
1128267,Temporal Difference Learning: Metrics and Optimal Policies
28412,Locally weighted learning in autonomous control systems.
594387,Evolving compact solutions in Genetic Programming.
1127541,Drug design using mixture models.
44455,Study on visually guided robot evolution.
45188,Cross validation error analysis with rates.
45189,Model selection methods for supervised learning.
62607,Generalization techniques using T-implication for ML.
1127551,Recurrence relationships for order statistics distributions.
1123991,Bayesian probability theory for machine learning.
1127558,Bayesian models for non-linear autoregressions.
105057,Improving multiclass classification with ECOCs.
1128291,Comparison of random search and genetic programming.
1127566,Hierarchical priors and mixture models.
1154459,Tutorial on genetic algorithms by Darrell Whitley.
218682,Relevance assessment through similarity evaluation.
28447,Self-improving control system for robotic navigation.
1153736,On-site learning model with query filtering.
62634,Study on program response and introns.
211432,Holte's study on decision tree learning.
112378,Grapheme-to-phoneme conversion system evaluation.
1113035,Entropy optimization using EMMA for MRI.
1118848,Sparse representation with local correlation kernels.
137790,Study on learning optimal search strategies.
217984,Analyzing phase transitions in high-dimensional SOMs.
949217,Comparison of neural and statistical classifiers.
28473,Adaptive load balancing in multi-agent systems.
1104300,Efficient stochastic source coding algorithm for Bayesian network.
1105033,Learning program exploits opponent weaknesses strategically in games.
11093,Learning causal structure using EM algorithm.
696342,Blind separation with multi-layer neural networks.
696343,Orthogonal source separation algorithms with noise analysis.
696346,Blind separation algorithms for natural images.
28487,Efficient learning methods for Markovian decision processes.
5038,Online learning algorithms combining multiple expert predictions.
195150,Naive Bayesian classifier improves ILP-R performance.
62676,Enhancing dynamic simulation with linear programming.
13213,Self-improvement and multi-agent learning method.
576973,Social behavior enhances genetic algorithm optimization.
35797,Neural network benchmark problems for evaluation.
134128,NeuroChess program learns chess through neural networks.
166825,Efficient integration of CBR and neural networks.
175576,PAC learning 1D geometric patterns for recognition.
509379,Model selection using measure functions.
1113084,Emergence of articulated attractors in networks.
53942,Survey on simplifying decision trees for classification.
642621,Monitor Markov chain samplers using cusum.
1131236,Bounds on Gibbs sampler convergence time.
1112369,Model disrupts symmetry in orientation map.
446610,Modeling interacting processes using Coupled HMMs.
644093,Biases in MCMC convergence diagnostics summary.
411092,Learn exceptions in chess strategies quickly.
642641,Bayesian analysis simplifies agricultural experiment interpretation.
408885,Belief network algorithms for medical care.
1131258,Discretization method for MCMC convergence.
1131267,Parallel MCMC sampling for high-dimensional densities.
13269,Efficient probabilistic reasoning for diagnostic inference.
1104379,Self-optimizing RBF network with evolutionary strategy.
1114502,Hybrid methodology integrating genetic algorithms and decision trees.
1107215,Human-computer system for crisis response analysis.
83725,Deriving explanations for reactive plans.
84459,Enhancing robot communication through concept learning.
642681,Convergence diagnostic techniques for MCMC algorithms.
445938,Efficient representation learning using compositional modeling.
1103676,Time series recognition methodology with applications.
1130568,Visual tracking with neural network controller.
1153003,Diverse machine learning techniques approach.
51045,Predictive causal modeling using regression efficiently.
12576,Learning decision rules for sequential tasks.
144330,Prior concepts enhance inductive learning algorithms.
105865,Neural network architecture selection statistical framework.
51052,Distinguishing causal influences from spurious covariations.
746058,All-to-all broadcast performance analysis on CNS-1.
1153014,Integrating categorical and uncertain knowledge in decision-making.
641976,Error estimation methods for neural network models.
561789,Neurological response amplitude fluctuations Bayesian inference.
1130586,Predictive neural controllers for robot manipulation.
368605,Adaptive discriminant network with generalization results.
1133428,Maximum likelihood source separation using EM algorithm.
1113828,Diagnosing anomalies with robust classifier and approximation.
129042,Genetic algorithm enhances case adaptability in CBR.
129045,Synergy between constraint satisfaction and reasoning.
6539,Quantifying bias impact on learning.
1153031,Learning parameter values with prior knowledge.
1122580,Virtual scenes impact machine learning generalization.
1132706,Music structure recognition using exemplar-based approach.
1152308,Automated approach enhances conversational case libraries.
105899,Mixture model system for medical diagnosis.
50354,Spurious local minima in neural networks.
1121867,Majority vote classifiers theory and applications.
1113852,Learning accurate representational system with unknown query.
1153056,Technical report on Multigrid Q-Learning.
94641,Compression pressure leads to elegant solutions.
1153065,Interpreting genetic algorithm results with case-based reasoning.
1133469,XCS evolves optimal boolean function representations autonomously.
35070,Improves accuracy by learning rules simultaneously.
576257,Genetic programming optimizes neural nets efficiently.
368657,Facial expression perception in neural networks.
1129018,Automatic generation of structured models using genetic programming.
263069,Hyperplane ranking in genetic algorithms during search.
1129027,"Genetic programming methodology, parallelization, applications."
1152358,Genetic algorithm operators comparison: crossover vs. mutation.
1125467,Bayesian network classifier for mixed attributes.
1125469,Complex stochastic systems represented using structured language.
72101,Limitations of Recurrent Cascade Correlation network.
40922,Weighting method for case indexing.
1153097,Global stabilization of linear systems with constraints.
1109439,Seismic signal classification using neural networks.
423463,Model selection using GLIB in epidemiology.
128383,Dynamic user scheduling preferences acquisition using CBR.
683360,Qualitative probability varieties explored in concise paper.
1129040,Behavior hierarchy in autonomous robots using fuzzy logic.
52515,Unsupervised learning using two-layer networks.
41666,Theoretical limits vs real-world performance in ML.
1128319,Modeling distributed search using social insects.
1152379,Annealed theories of learning boolean functions.
1136342,Evolution of memory and mental models.
1125492,Efficient sonar tracking with genetic algorithms.
1108728,Constructive induction learning agent for adaptive systems.
265203,Classifier systems package for user environments.
628888,Reduce complexity of self-organising maps with neuron clusters.
1127619,Data-driven and model-based relational learning.
56112,Noise impact on tactical plan learning.
56115,Optimizing tactical plans with genetic algorithms.
56119,Genetic algorithm learns collision avoidance strategies.
89547,Learning curves theory based on statistical mechanics.
51831,Efficient learning of context-free languages with NNPDA.
91038,Stochastic feedforward networks for classification tasks.
96847,Genetic Programming analysis for Pac-Man.
521855,Causal reasoning using directed acyclic graphs.
594483,Genetic programming for intelligent control.
1119623,Review of interval censored survival data estimation.
96851,Balancing accuracy and simplicity in genetic programming.
1136397,Predictability in nonlinear acoustical systems through reconstruction.
158172,Efficient hindsight algorithm for dynamic networks.
1127657,Balancing optimism and pessimism in learning.
131315,Hierarchical recurrent neural networks for dependencies.
131318,Algorithm for simple neural networks with generalization.
289945,Neural network models for system control.
62718,Enhancing reactive plans through rule generation.
229635,Evolutionary neural networks enhance constraint problem solving.
56167,Improving conversational CBR performance with refined cases.
1119654,Model movement learning and speed-accuracy tradeoff.
51879,Refining rule-bases with symbolic and connectionist learning.
10435,Combining rule-based and case-based reasoning.
137873,Density estimation with stacked neural networks.
168332,Comparison of Q-learning and Classifier Systems.
330208,Balances coding and sparse representations.
689152,Shattering sets of points with parameters.
1120444,Evaluation methodology for complex AI systems.
1153877,Abstract knowledge for flexible case-based reasoning.
111770,Efficient estimation for interval-censored Cox model.
1153879,Analyzing advice-taking using stories in models.
108047,Team dynamics and performance enhancement strategies.
1131300,Reparameterisation impact on MCMC for mixtures.
362926,Common LISP WWW server for hypermedia access.
129896,Model uncertainty improves survival analysis predictions.
129897,Bootstrap method for model averaging and selection.
59045,Predictive games and algorithms for error reduction.
1153889,Analogical problem solving and imitation.
239810,Supporting dialogue inferencing in conversational CBR.
20601,Learning conjunctions of Horn clauses efficiently.
20602,Efficiently identifying read-once formulas using queries.
416964,Hierarchical structures for effective network training.
38722,Learning algorithm for variable memory length.
72908,Explore data regularities and applications.
116081,Estimating attribute quality using RELIEFF.
1153897,Genetic Programming for chaotic time series.
116084,Improving ILP algorithms using RELIEFF heuristic.
116087,Discretization of continuous attributes using ReliefF.
1113182,TD learning and game-tree search combination.
1131330,Metropolis-Hastings algorithm with sequential density estimator.
582139,Face recognition with pose invariance using ICA.
561809,Bayesian regression and curve fitting approach.
14062,Genetic algorithms analysis with population and crossover.
1104449,MDN for discriminant analysis in education.
39474,Comparison of simulated annealing and greedy.
27895,Automated reasoning technology for customer service.
167670,Comparison of discretization methods for features.
1131345,System with consistent input/output behavior.
1131348,Stability analysis of linear control systems.
14083,Data reconciliation and error detection methods.
1103737,Hierarchical classifications improve accuracy in classifiers.
65650,Efficient prediction with unpruned decision trees.
93273,Efficient parallel algorithms for learning geometric concepts.
65653,New criteria for pessimistic decision tree pruning.
5194,Neural network weights identification from measurements.
14090,Adaptive integration method for dominant peaks.
1131360,Evolutionary algorithms for solving combinatorial problems efficiently.
1130634,Protein secondary structure prediction using networks.
976284,Sanity-check bounds for cross-validation error.
1130637,Observing behavior in simulated world.
593022,Distributed GP system for problem-solving in C++.
1131374,Study multi-parent recombination in evolution strategies.
975567,Study on adaptive behavior in co-evolving species.
133550,Observability in nonlinear systems for neural networks.
145134,Algorithms for computing second derivatives in NN.
1130653,Analogical processing in functional program synthesis.
1130657,Reminding or heuristic switching in examples.
1104495,Prototype styles for accurate generalization in learning.
133566,Study on system-theoretic aspects in neural networks.
133567,Controllability analysis in recurrent neural networks.
1122642,Location-independent transformation for dynamic topologies.
1114629,Spurious solutions in reinforcement learning Bellman.
91852,Learning structural indices for case-based design.
91853,Analogical reasoning and learning in design.
376704,Movement representation using unsupervised learning system.
1153101,Improved predictive accuracy and rule simplicity.
32276,Support data extraction for SVM classification tasks.
1130678,Brain function and spatial orientation representation.
83847,Head-direction cell dynamics for spatial orientation.
8079,Bias-variance decomposition in classification learning.
593068,Evolving sorting networks using genetic programming.
285675,Fast algorithm for parsimonious solutions in linear systems.
1130680,Learning face representations from visual associations.
1106630,Neural networks for interpretable data mining.
278394,Statistical theory on overtraining and cross-validation.
285687,Math programming for data mining tasks.
69284,Genetic algorithms fundamentals and optimization techniques.
6639,Stochastic search method for inductive learning.
14807,Exponential growth of local minima in models.
152483,Study on neighborhood impact on selection algorithms.
683404,Resolving tradeoffs in probabilistic networks efficiently.
593091,Survey of parallel genetic algorithms report.
1117501,Study on rectified Gaussian distribution modeling.
99023,Fast ICA algorithm in Neural Computation.
99025,Efficient coding and coincidence detection in neurons.
513189,Enhanced selection methods in genetic algorithms.
1152421,Genetic algorithm tutorial by Darrell Whitley.
1153150,Data-driven constructive induction enhances learning analysis.
99030,Nonlinear PCA learning rule for signal separation.
1105932,Adaptation of Relief for attribute estimation.
1153160,Logic Programming and Machine Learning fusion.
1106671,Bayesian approach for complex neural network tasks.
531348,Efficient algorithm learns Bayesian belief networks.
577086,Job Shop Scheduling Problem solution space analysis.
531351,Efficient algorithm constructs Bayesian belief networks.
25702,SVM excels in time series prediction.
87482,Neural network implementation using multi-chip modules.
135765,Specializing recursive predicates to exclude negatives effectively.
135766,Specialization of logic programs with pruning.
1132864,Enhancing inference in cognitive maps.
22886,Continuous case-based reasoning for robotic navigation.
1118286,GMU machine learning programs analysis.
162664,Algorithm integrates CI tests for Bayesian network.
1109542,Adaptive model selection using covariance inflation.
1116835,Improved RBF positioning through supervised learning.
1116839,Analogical problem solving in production system.
1103016,Efficient parameter estimation in error-in-variable problems.
1128425,Innovative 3D object recognition with temporal context.
1116842,Pruning AdaBoost for performance and memory.
1136446,Visual cortex plasticity and dynamic modeling studies.
1136447,Study effects of drugs on brain plasticity.
27199,Learning algorithms for identifying concepts using boxes.
1125597,Pruning neural networks with optimization methods.
1132887,Belief propagation for optimal convergence in networks.
593813,Power network maintenance schedules optimized using Genetic Programming.
594543,Constraining search space in genetic programming.
917493,Observability conditions for systems with saturated outputs.
1128430,Data analysis for logical conclusions efficiently.
51909,Automated refinement of Horn-clause theories.
1108834,Predicting Tokyo stock market with adaptive techniques.
1128437,Improving sequence categorization accuracy with FGEN method.
989397,PAC learning intersections of halfspaces.
97645,Genetic algorithms for Assembly Line Balancing.
8832,CBR methods for crisis prevention with AI.
1103031,Handling higher order uncertainty with confidence.
346243,Impact of inductive bias on CBR learning.
1119708,Evolutionary computation landscape with new challenges.
36620,Memory-based vs Bayesian classifier algorithms performance.
25772,Customized metric for KNN classification with local relevance.
640617,Seismic data imaging hybrid genetic algorithms.
8865,Immune system model with genetic algorithms.
950986,Accurate function representation with locally linear network.
35905,Equivalence of linear Boltzmann chains.
8875,Learning sequential decision rules in robotics.
25791,Efficient bias adaptation algorithm in learning systems.
100961,Adaptive pruning method enhances neural network generalization.
738941,Efficient object-oriented simulator for structured nets.
64271,Generic teleological mechanisms for case adaptation in design.
3084,Comparing utility issues in different learning methods.
3085,Similarity-based retrieval in psychological data analysis.
28649,Online learning of linear functions with bounds.
3095,Constructive similarity assessment for case-based reasoning.
3097,Memory search strategy learning for adaptation.
1153943,Impact of recombination operator on search performance.
1121254,Approximating probability distributions using structured approximations.
74427,ASOCS model for parallel rule processing.
231249,Dynamic hill climbing algorithm outperforms genetic.
1105221,Adaptive testing of autonomous vehicle controllers.
28674,Improving search-based problem solvers through speedup.
1129907,Efficient non-parametric density estimation with weights.
650807,Evolutionary pre-adaptation across organizational levels.
348437,Learning first-order Horn programs from entailment.
1688,Heuristics for NP-Complete problems using NNs and GAs.
33013,Learning coordinated strategies in multiagent domains.
38829,Analogical reasoning mechanisms learned from experiences.
307015,Optimal mutation rates in genetic search.
127033,Learning robot behaviors using genetic algorithms.
310742,Bayesian approach for uncertain student knowledge.
1694,Comparison of NNSAT and GSAT for SAT.
650834,Comparison of Artificial Life Neural Networks.
1131420,Neural architectures for 3-D object recognition.
193918,Training algorithms for FIR synapse MLP.
85324,Optimal learning samples and hidden units estimation.
642827,Bayesian model determination in graphical models.
38845,Opportunistic reasoning in design with memory.
193931,Optimal generalization of neural networks.
193932,Neural network training challenges and optimization.
4553,Classification rules learned using lattices.
1116146,Efficient case retrieval using Fish and Shrink.
85352,Evolutionary genetic algorithm for 2-D optimization.
261040,Diverse tasks and representations in CBL research.
145215,Memory-based approach for lexical acquisition.
646412,Optimizes function using stepwise estimators.
1131464,Competitive learning methods with planned enhancements.
1131466,Estimation of missing data using complexity.
574264,Evolutionary algorithms for scheduling and optimization problems.
458439,PFSA modeling with Evolutionary Programming.
57764,Inductive learning with minimal complexity representations.
646440,Reversible jump sampler for autoregressive time series.
1111899,Case-based planning methodology for effective learning.
521252,Unification of ordinal and cardinal similarity measures.
1115471,Discovering compressive partial determinations in mixed domains.
1123493,Assessment of PFSA models using Evolutionary Programming.
601462,Global coordination in cellular automata evolution.
421481,Bootstrap theorem for Z estimators applications.
385572,Accurate recurrence time prediction in medicine.
30934,Query by Committee algorithm for selective sampling.
84695,Nonlinear PCA with integral operator kernel functions.
189566,Knowledge-based construction of probabilistic and decision models.
69397,Dynamic algorithm selection based on example space.
6741,Learning through questioning and memory utilization.
177998,Study adaptive behaviors in complex environments.
395725,Exploring distributed representations and compositional structures.
61417,Efficient subsumption algorithm for ILP.
54129,Introduction to Strongly Typed Genetic Programming.
1118347,Computational limitations of RCC network.
1106764,Efficient subsumption algorithms in logic implication.
102406,Algorithm learns sparse perceptrons effectively.
75972,Improving inductive learning algorithms with RELIEFF.
95579,Hierarchical RL with MAXQ decomposition.
54132,Genetic Programming for optimizing search efficiency.
27243,"Comparison of voting classification algorithms: Bagging, Boosting."
1153262,Evolution of rationality towards intelligent AI.
1153264,Evaluate RISE 1.0 Learning System by Pedro Domingos.
30973,Analogical similarity estimation using Holographic Representations.
1129208,Learning compact models from random samples.
1106771,AA1 convergence and generalization analysis.
27249,Analyzing bias and variance in decision trees.
95586,Impact of macro-actions on reinforcement learning.
95588,Hierarchical RL for efficient problem-solving.
255233,Improving case retrieval in planning through explanation.
6775,Statistical evaluation of neural network experiments.
129287,Training large neural networks for phoneme probability.
27250,Bayesian explanation for bagging's success.
19231,Algorithm enhances learning efficiency through committee selection.
1153275,Comparison of encoding approaches for inference.
1132948,"Sparse, independent representations of visual scenes."
1106789,Model selection techniques for consumer loans.
95597,Learning and planning with hierarchical options.
6784,Neural network learning algorithm research practices.
682815,Importance of developmental mechanisms in genetic algorithms.
1153280,Tutorial on Genetic Algorithms by Darrell Whitley.
148170,Genetic programming challenges in optimal monitoring.
263279,Efficient decision rule acquisition from noisy data.
1116922,"Comparison of ILP, GP, and GLP."
1152564,Efficient retrieval and adaptation in case-based reasoning.
1118388,Structural similarity assessment and adaptation in design.
851968,Efficient natural gradient descent for NNs.
3101,Hybrid approach for case adaptation knowledge acquisition.
1129243,Improving learning in dynamic multi-robot systems.
170798,Learning problem-solving concepts through reflection.
3112,Interface design for mixed-initiative planning.
503877,Comparison of optimization algorithms in evolution.
17821,Game theory for control law on moving horizon.
503883,Genetic algorithms with multi-parent recombination optimization.
561238,Enhancing genetic algorithms with reintroduced genetics.
1110438,Probabilistic classifiers on different feature sets.
575795,Global learning through evaluation space adaptation.
1116974,Distributed platform for flexible learning and generalization.
272720,New metric-based model selection outperforms traditional techniques.
415693,Evolving rule sets using genetic algorithms.
18582,Enhancing genetic learning with knowledge-based operators.
11325,Improved classification accuracy through multiple concept descriptions.
11326,Revisiting decision tree optimization in research.
1103162,Multi-agent cooperation in reinforcement learning.
1111186,Method enhances DMP network performance.
578645,Automating specification refinement through genetic programming.
578646,Genetic programming for program evolution.
578649,Improving search efficiency with collective adaptation.
1121313,CBR integration with CSP for product design.
11335,Concept learning challenges with small data.
1102442,Assessment of machine learning algorithm performance.
11339,Occam's Razor in Decision Tree Induction.
52784,Comparison of Bagging and Boosting methods.
11342,Comparison of pruning and averaging methods.
1130080,Cortical network activity in behaving monkeys.
3191,Model selection and uncertainty in regression.
3192,Bayesian Graphical Models for Discrete Data.
400455,Facial emotion recognition with categorical perception.
1135899,Improving blind source separation with adaptive filters.
591017,Adapting MDL principle for comprehensible models.
751408,Blind separation of delayed and convolved sources.
1140230,Blind separation algorithm simplification with Fisher matrix.
1140231,Efficient training of multi-layer perceptrons.
1106052,Lazy approach using evidence grids for recognition.
70970,Evolution of non-deterministic incremental algorithms for search.
67245,Visual perception and learning simulation.
67246,Neural network VISOR system for scene analysis.
205196,Training binary-weight neural networks using constructive methods.
135130,Genetic algorithm for autonomous vehicle behaviors.
123556,Backpropagation superiority over perceptron learning rule.
645084,Modeling disease risk with Bayesian framework.
1786,Classifier learning benchmark in technical report.
66556,Critique of Schema Theorem and GA evaluation.
1130808,Simulated EEG analysis with three-shell head model.
4649,Accurate relational learning with knowledge-intensive methods.
582343,Improving document filtering performance collaboratively.
395075,Evolving collaborative species for parallel evolution.
582349,Algorithm lllama for DNA structure classification.
20833,Speeding up rule induction with partitioning.
1131549,Evolution of modularity through genetic duplications.
58552,Efficient neural network pattern recognition theory.
85449,Enhancing neural networks with constructive induction.
49811,Accuracy estimators for learned concepts using synthetic data.
77438,Bayesian Automated Taxi for autonomous highway driving.
4660,Context-sensitive algorithms enhance text categorization performance.
66594,Automatic parameter selection for optimal performance.
66596,AI analysis and knowledge extraction from events.
314459,Feedback loops with saturation in input-output systems.
1116268,Boosting algorithms improve classifier accuracy with generalizers.
1103960,Object localization methods in surgery summary: Accuracy with minimal measurements.
49843,Robust ILP system using statistical correlation.
1103969,Models of judgment under uncertainty and limitations.
593240,Interactive Genetic Programming for Image Enhancement.
207395,Functional theory for creative reading in NLU.
593248,Speeding up Genetic Programming through Parallel.
943087,Vector quantizer performance with small training sets.
7532,Finite-gain stabilization of systems with saturation.
7537,Global stabilization of linear discrete-time systems.
25181,Bilinear program for point set separation.
25184,Feature selection using mathematical programming for ML.
16437,Learning DCF Grammars with NNPDA capabilities.
1103985,Hardware-based genetic algorithm with speed advantages.
6814,Efficient time series modeling with Factorial HMMs.
6818,Refined mean field theory for networks.
1154042,Bayesian estimation methods for learning tasks.
23738,Learning classification rules using Bayesian statistics.
1107558,Guide for optimal compression using software.
137359,Constructive induction experiments in AQ17-DCI data.
16451,Learning SRIN structure with modified RNNs.
318071,Methodology for decision-modeling integration analysis.
232860,Modeling human consciousness and cognitive processing.
1107572,Selecting relevant examples from random sources.
49895,Inductive Logic Programming evolution from psychology.
16474,Rule revision in RNN for sequence recognition.
1154076,Survey on multi-parent recombination operators in EA.
626999,Improve performance using structural information.
137380,Learning method combines M-of-N and DNF rules.
1119178,Correcting bias in conversational case scoring algorithm.
33904,Baseline for evaluating genetic algorithms.
1119180,Enhancing learning through concept sharing.
33907,Genetic algorithm for set partitioning with DOE.
174418,Enhancing SVM accuracy and speed innovatively.
70281,Extracts understandable representations from neural networks efficiently.
73119,Inconsistency in Dempster-Shafer theory and solution.
9716,Explanation-Based Macro-operator Learning in problem-solving.
174425,Incorporating invariances in support vector machines.
416455,Learning robotic behaviors with genetic algorithms.
18615,Learning set-valued features for decision algorithms.
127940,Efficient training of feedforward simple recurrent networks.
1152663,Generalization algorithms enhance robot learning in noise.
675649,Modeling volatility dynamics using state space.
1117760,Chess program using TD() and minimax.
1138091,Analogical reasoning in automated theorem proving.
